Maç_Kodu;Maç;Takım_Tipi;Sıra;Takım;O;G;B;M;A_Y;AV;P;Form
2654764;Real Madrid - R. Sociedad;Ev Sahibi;2;Real Madrid;23;18;3;2;49:18;31;57;GGGGG
2654764;Real Madrid - R. Sociedad;Deplasman;8;R. Sociedad;23;8;7;8;33:31;2;31;GGGBG
2648224;Groningen - Utrecht;Ev Sahibi;8;Groningen;22;9;4;9;29:28;1;31;BGMMM
2648224;Groningen - Utrecht;Deplasman;10;Utrecht;22;7;6;9;33:29;4;27;MMBMG
2631201;Acassuso - Chaco For Ever;Ev Sahibi;4;Acassuso;0;0;0;0;0:0;0;0;
2631201;Acassuso - Chaco For Ever;Deplasman;6;CA Chaco For;0;0;0;0;0:0;0;0;
2693677;Dep. Moron - Defensores B.;Ev Sahibi;14;D. Moron;0;0;0;0;0:0;0;0;
2693677;Dep. Moron - Defensores B.;Deplasman;7;CA Defensore;0;0;0;0;0:0;0;0;
2713940;San Telmo - Ferro Carril Oeste;Ev Sahibi;9;CA San Telmo;0;0;0;0;0:0;0;0;
2713940;San Telmo - Ferro Carril Oeste;Deplasman;15;Ferro Carril;0;0;0;0;0:0;0;0;
2713973;All Boys - Mitre Santia;Ev Sahibi;5;All Boys;0;0;0;0;0:0;0;0;
2713973;All Boys - Mitre Santia;Deplasman;17;Mitre S.;0;0;0;0;0:0;0;0;
2654434;Granada - Real Valladolid;Ev Sahibi;15;Granada;25;6;11;8;26:29;-3;29;BBGGM
2654434;Granada - Real Valladolid;Deplasman;18;R.Valladolid;25;7;7;11;25:31;-6;28;MGMMM
2653968;Gimnastic - Betis D. Balompie;Ev Sahibi;14;Tarragona;23;8;5;10;26:30;-4;29;MMGBM
2653968;Gimnastic - Betis D. Balompie;Deplasman;17;Betis Depor.;23;5;6;12;22:32;-10;21;GMMGG
2720775;D. Maldonado - CA Progreso;Ev Sahibi;4;D. Maldonado;1;1;0;0;4:2;2;3;G
2720775;D. Maldonado - CA Progreso;Deplasman;16;Progreso;1;0;0;1;0:3;-3;0;M
2654576;Paris - RC Lens;Ev Sahibi;15;Paris;21;5;7;9;26:34;-8;22;MGBBB
2654576;Paris - RC Lens;Deplasman;2;Lens;21;16;1;4;37:17;20;49;GGMGG
2706630;Juan Pablo II - S. Cristal;Ev Sahibi;17;Juan Pablo;2;0;1;1;4:9;-5;1;BM
2706630;Juan Pablo II - S. Cristal;Deplasman;12;S. Cristal;2;0;1;1;2:3;-1;1;BM
2653901;Gil Vicente - Braga;Ev Sahibi;5;Gil Vicente;21;10;7;4;31:17;14;37;BGMGG
2653901;Gil Vicente - Braga;Deplasman;4;Braga;21;11;6;4;44:18;26;39;BGGGG
2653738;Banfield - Racing Club;Ev Sahibi;11;Banfield;4;1;1;2;3:4;-1;4;BMGM
2653738;Banfield - Racing Club;Deplasman;12;Racing Club;4;1;0;3;5:8;-3;3;MMMG
2693606;Agropecuario A. - CD Maipu;Ev Sahibi;4;Agropecuario;0;0;0;0;0:0;0;0;
2693606;Agropecuario A. - CD Maipu;Deplasman;9;CD Maipu;0;0;0;0;0:0;0;0;
2654917;Deportivo Mixco - Comunicacion;Ev Sahibi;7;Deportivo M.;5;2;1;2;4:6;-2;7;MGMBG
2654917;Deportivo Mixco - Comunicacion;Deplasman;4;Comunicacion;5;3;0;2;8:8;0;9;GMGMG
2664910;Deportes Limache - O'Higgins;Ev Sahibi;7;Deportes L.;2;1;1;0;4:2;2;4;GB
2664910;Deportes Limache - O'Higgins;Deplasman;4;O Higgins;2;2;0;0;3:1;2;6;GG
2664708;Dep. La Gua. - Caracas;Ev Sahibi;5;D. La Guaira;2;1;1;0;4:2;2;4;GB
2664708;Dep. La Gua. - Caracas;Deplasman;8;Caracas;2;0;2;0;3:3;0;2;BB
2664841;Millonarios - Llaneros;Ev Sahibi;16;Millonarios;6;1;2;3;4:6;-2;5;MMBBG
2664841;Millonarios - Llaneros;Deplasman;9;Llaneros;6;2;3;1;6:4;2;9;BBBGM
2688512;Club Olimpia - Rubio NU;Ev Sahibi;1;Olimpia;4;3;1;0;8:5;3;10;GBGG
2688512;Club Olimpia - Rubio NU;Deplasman;11;Rubio Nu;4;0;2;2;3:8;-5;2;BBMM
2693616;T. Suarez - Temperley;Ev Sahibi;12;Tristan S.;0;0;0;0;0:0;0;0;
2693616;T. Suarez - Temperley;Deplasman;11;Temperley;0;0;0;0;0:0;0;0;
2664775;Dep. Tachira - Trujillanos;Ev Sahibi;7;D. Tachira;2;1;0;1;3:2;1;3;GM
2664775;Dep. Tachira - Trujillanos;Deplasman;12;Trujillanos;2;0;1;1;1:3;-2;1;MB
2706629;Sport Boys - Atl Grau;Ev Sahibi;13;Sport Boys;2;0;1;1;1:2;-1;1;BM
2706629;Sport Boys - Atl Grau;Deplasman;16;Atl. Grau;2;0;1;1;0:2;-2;1;MB
2653798;Talleres - Gimnasia Y.;Ev Sahibi;11;Talleres;4;1;1;2;5:6;-1;4;GMMB
2653798;Talleres - Gimnasia Y.;Deplasman;9;Gimnasia Y;4;2;0;2;2:5;-3;6;GMMG
2654356;CA Huracan - CA Sarmiento;Ev Sahibi;9;Huracan;4;1;2;1;4:4;0;5;BMBG
2654356;CA Huracan - CA Sarmiento;Deplasman;6;CA Sarmiento;4;2;0;2;4:4;0;6;MGMG
2713942;Colon - Dep. Madryn;Ev Sahibi;12;Colon;0;0;0;0;0:0;0;0;
2713942;Colon - Dep. Madryn;Deplasman;13;D. Madryn;0;0;0;0;0:0;0;0;
2657316;Municipal L. - Fuerte San Francisco;Ev Sahibi;8;Municipal L.;6;1;3;2;3:5;-2;6;GBBBM
2657316;Municipal L. - Fuerte San Francisco;Deplasman;11;CD Fuerte Sa;6;0;3;3;4:8;-4;3;MBBMM
2657421;Fundacion F. Un Atleta - CD Hercules;Ev Sahibi;1;Fundacion F.;6;4;2;0;10:2;8;14;GGBBG
2657421;Fundacion F. Un Atleta - CD Hercules;Deplasman;9;CD Hercules;6;1;2;3;6:12;-6;5;MMBGM
2654888;Guadalupe - AD San Carlos;Ev Sahibi;10;Guadalupe;6;1;2;3;5:11;-6;5;GMBMB
2654888;Guadalupe - AD San Carlos;Deplasman;4;San Carlos;6;3;0;3;7:6;1;9;GGMGM
2648243;Atl San Luis - Queretaro;Ev Sahibi;14;R.S. Luis;5;1;1;3;7:10;-3;4;MGBMM
2648243;Atl San Luis - Queretaro;Deplasman;12;Queretaro;5;1;2;2;5:5;0;5;BMMBG
2653867;Pachuca - Atlas;Ev Sahibi;7;Pachuca;5;2;2;1;4:3;1;8;MGBBG
2653867;Pachuca - Atlas;Deplasman;6;Atlas;5;3;1;1;5:4;1;10;GMGGB
